"Ship_1A:movement","Ship_1A:health","Ship_1A:attackRange","Ship_1A:atkRanged","Ship_2A:movement","Ship_2A:health","Ship_2A:attackRange","Ship_2A:atkRanged","Scout_A:movement","Scout_A:health","Scout_A:attackRange","Scout_A:atkRanged","Heavy_A:movement","Heavy_A:health","Heavy_A:attackRange","Heavy_A:atkRanged","Ship_1B:movement","Ship_1B:health","Ship_1B:attackRange","Ship_1B:atkRanged","Ship_2B:movement","Ship_2B:health","Ship_2B:attackRange","Ship_2B:atkRanged","Scout_B:movement","Scout_B:health","Scout_B:attackRange","Scout_B:atkRanged","Heavy_B:movement","Heavy_B:health","Heavy_B:attackRange","Heavy_B:atkRanged",fitness
9,83,6,49,2,17,9,45,15,14,5,69,5,76,1,38,4,94,9,41,4,24,12,8,7,90,10,7,7,80,2,22,1.8857142857142857
7,81,6,10,7,60,5,15,1,77,9,5,8,101,7,56,6,44,6,7,1,31,12,45,7,47,9,66,4,156,3,28,2.966666666666667
6,19,5,4,5,67,6,40,8,95,8,7,5,141,10,19,7,23,1,45,5,2,9,26,7,47,3,57,2,91,4,94,1.98
1,98,7,49,2,12,8,41,13,14,8,30,5,76,8,38,10,94,6,23,6,39,5,39,5,3,9,61,5,34,7,90,2.0
3,16,2,40,6,88,6,21,1,8,11,50,3,10,12,32,7,8,3,10,1,20,6,18,2,36,3,59,8,56,2,30,2.0
7,16,6,10,6,60,5,15,2,77,8,5,8,101,7,79,6,44,8,7,1,74,9,13,7,47,9,13,4,156,3,61,2.9743589743589745
8,65,9,9,4,10,11,61,9,4,5,25,3,187,12,75,5,67,5,44,10,88,9,11,13,12,11,67,5,165,12,75,2.0
2,83,1,49,5,12,9,45,15,75,10,14,5,73,8,38,6,9,10,23,6,72,12,8,7,80,10,7,4,1,2,22,2.980392156862745
2,83,7,49,5,12,9,41,15,14,8,69,5,76,8,38,4,94,10,23,1,24,12,8,7,80,10,7,5,1,2,22,3.0
2,83,7,49,5,12,9,41,15,14,8,69,5,76,8,38,4,94,10,23,1,24,12,8,7,80,10,7,5,1,2,22,3.0
3,31,4,27,8,12,12,27,13,12,8,55,4,77,10,49,5,51,4,28,7,100,9,53,10,41,8,30,1,6,7,14,1.9166666666666665
5,35,6,10,8,60,5,13,1,55,9,5,10,101,10,16,6,40,7,7,6,56,11,69,14,20,3,66,7,156,5,28,2.0
2,83,7,49,5,72,9,41,15,14,8,62,5,76,8,38,4,94,10,45,1,24,9,8,7,80,10,7,5,166,2,22,2.0
1,83,7,16,7,55,12,41,15,14,11,38,8,70,8,38,10,92,9,15,6,39,7,47,8,71,10,61,6,1,2,49,2.0
9,5,9,7,3,53,11,43,6,24,9,62,8,104,4,39,3,77,4,4,5,19,12,8,12,1,8,8,2,28,1,91,2.0
7,30,7,49,5,12,9,16,15,88,3,69,5,47,6,38,4,94,10,23,6,24,7,29,9,80,10,7,4,1,2,22,2.0
1,83,3,37,4,12,9,41,10,77,7,30,5,76,8,38,10,97,10,34,8,39,12,8,3,3,10,61,7,21,2,90,1.864864864864865
1,83,7,49,7,12,12,41,7,14,8,30,3,70,8,38,10,29,10,15,6,39,7,8,8,71,10,61,6,1,2,90,2.0
8,25,4,4,4,73,6,15,10,28,8,47,9,84,9,35,3,44,6,32,7,19,7,28,14,62,7,19,2,37,9,39,1.9772727272727273
9,75,6,38,10,13,7,6,12,91,8,45,5,182,1,74,4,90,1,10,10,37,7,51,1,43,12,6,1,75,11,65,1.9615384615384617
2,8,9,6,3,78,11,9,6,92,9,50,10,104,6,39,3,79,10,30,4,55,12,8,3,1,8,8,2,196,1,32,2.9402985074626864
2,8,9,6,3,53,11,43,6,92,9,50,10,104,4,39,3,77,10,30,5,55,12,8,12,1,8,8,2,28,1,32,2.0
7,65,6,10,7,60,5,34,1,55,9,64,8,84,11,98,5,66,8,7,1,55,11,50,14,47,9,66,4,178,8,82,3.0
5,35,10,10,4,60,5,13,13,55,9,48,10,101,11,16,6,57,7,7,1,67,11,69,9,5,9,66,8,61,8,30,1.975609756097561
4,35,6,10,4,60,5,13,1,55,7,5,3,101,12,36,6,44,7,37,9,56,9,69,14,79,9,66,4,156,5,9,2.0
10,90,5,50,5,96,6,38,8,69,8,8,3,27,1,37,3,50,3,19,8,41,12,47,12,3,3,49,4,136,11,46,1.9827586206896552
2,83,7,49,5,78,9,41,15,14,8,69,2,76,8,38,4,94,10,23,6,74,12,11,7,80,10,7,5,1,2,32,2.0
10,85,10,33,5,77,6,63,1,29,9,66,1,69,2,24,10,30,1,50,1,6,10,60,9,78,9,23,3,182,10,22,1.9310344827586206
5,35,6,10,4,60,5,13,1,55,9,5,10,101,4,16,6,44,7,7,1,56,11,69,14,5,9,66,4,156,8,28,3.0
6,35,6,10,6,60,5,48,5,55,7,5,10,145,4,75,6,44,7,7,9,56,6,69,14,78,9,66,4,156,8,28,1.9318181818181817
